File,k,Ratio,Audio MSE,Audio PSNR,Audio SNR,Rate(kBps),Image Size,Status
flod0_si1287.wav,8,4:2:0,2533.60137,56.27,17.81,2.96,256x256 (4:2:0),Success
flas0_sx138.wav,8,4:2:0,4438.64796,53.84,12.64,4.96,256x256 (4:2:0),Success
mlll0_si1993.wav,8,4:2:0,8739.36809,50.89,13.53,8.28,256x256 (4:2:0),Success
mkag0_si979.wav,8,4:2:0,2715.39024,55.97,12.44,3.09,256x256 (4:2:0),Success
mrpc1_sx222.wav,8,4:2:0,6298.88935,52.32,18.43,7.27,256x256 (4:2:0),Success
mkes0_si1253.wav,8,4:2:0,3530.11825,54.83,22.11,4.46,256x256 (4:2:0),Success
mmws0_sx258.wav,8,4:2:0,5008.24744,53.31,13.47,6.16,256x256 (4:2:0),Success
mprb0_sx125.wav,8,4:2:0,6670.43134,52.07,13.06,8.21,256x256 (4:2:0),Success
mljb0_sx320.wav,8,4:2:0,4654.85124,53.63,12.88,5.56,256x256 (4:2:0),Success
fdac1_si1474.wav,8,4:2:0,1278.43912,59.24,23.11,1.48,256x256 (4:2:0),Success
fjsa0_si749.wav,8,4:2:0,3021.94684,55.51,11.61,2.96,256x256 (4:2:0),Success
mmrp0_sx144.wav,8,4:2:0,3763.27778,54.55,22.47,4.18,256x256 (4:2:0),Success
mjdg0_sx412.wav,8,4:2:0,4288.73082,53.99,13.66,5.04,256x256 (4:2:0),Success
medr0_si1374.wav,8,4:2:0,5862.92441,52.63,12.31,7.01,256x256 (4:2:0),Success
fjxp0_sa2.wav,8,4:2:0,2598.08864,56.16,22.85,2.93,256x256 (4:2:0),Success
mcem0_sx318.wav,8,4:2:0,6731.85121,52.03,15.7,7.89,256x256 (4:2:0),Success
mfgk0_sa2.wav,8,4:2:0,5646.95513,52.79,14.91,6.59,256x256 (4:2:0),Success
fcmh1_si2123.wav,8,4:2:0,3481.7803,54.89,21.58,4.12,256x256 (4:2:0),Success
mjbr0_si1001.wav,8,4:2:0,6308.14999,52.31,23.03,7.3,256x256 (4:2:0),Success
mjee0_si1867.wav,8,4:2:0,6139.82095,52.43,14.91,7.32,256x256 (4:2:0),Success
mdlb0_sx316.wav,8,4:2:0,4312.45498,53.96,22.03,4.9,256x256 (4:2:0),Success
mtwh0_si1190.wav,8,4:2:0,3416.74235,54.97,14.42,3.86,256x256 (4:2:0),Success
fsdj0_sx125.wav,8,4:2:0,5540.93454,52.87,19.53,6.54,256x256 (4:2:0),Success
mljc0_sa1.wav,8,4:2:0,5496.36348,52.91,13.52,6.46,256x256 (4:2:0),Success
mdtb0_sx120.wav,8,4:2:0,2489.62007,56.35,10.8,2.53,256x256 (4:2:0),Success
fkde0_si2221.wav,8,4:2:0,7258.14774,51.7,12.91,8.72,256x256 (4:2:0),Success
mwsh0_si1426.wav,8,4:2:0,1860.87174,57.61,23.0,2.28,256x256 (4:2:0),Success
mreh1_sx159.wav,8,4:2:0,3945.71391,54.35,27.33,4.86,256x256 (4:2:0),Success
mlsh0_sx67.wav,8,4:2:0,2313.48629,56.67,20.45,2.7,256x256 (4:2:0),Success
fpaz0_sx63.wav,8,4:2:0,4805.62469,53.49,18.87,5.54,256x256 (4:2:0),Success
fawf0_sx10.wav,8,4:2:0,5907.82286,52.59,13.99,6.89,256x256 (4:2:0),Success
mjbg0_sx62.wav,8,4:2:0,3343.73593,55.07,17.8,3.91,256x256 (4:2:0),Success
mchh0_sx194.wav,8,4:2:0,6369.94309,52.27,5.94,7.09,256x256 (4:2:0),Success
mdwm0_sx433.wav,8,4:2:0,4539.73734,53.74,22.09,5.63,256x256 (4:2:0),Success
mram0_si1275.wav,8,4:2:0,3082.66584,55.42,18.6,3.38,256x256 (4:2:0),Success
mmpm0_sa1.wav,8,4:2:0,3618.33837,54.72,24.57,4.78,256x256 (4:2:0),Success
mmds0_sx443.wav,8,4:2:0,4627.31055,53.66,11.64,5.49,256x256 (4:2:0),Success
mrgs0_sa2.wav,8,4:2:0,6763.89389,52.01,18.86,7.3,256x256 (4:2:0),Success
fbch0_sx326.wav,8,4:2:0,5218.15966,53.13,19.3,6.33,256x256 (4:2:0),Success
mcss0_si1380.wav,8,4:2:0,1938.6913,57.43,25.16,2.37,256x256 (4:2:0),Success
fecd0_sa1.wav,8,4:2:0,2895.01304,55.69,20.96,3.43,256x256 (4:2:0),Success
mmdm1_sx333.wav,8,4:2:0,1901.98243,57.52,25.13,2.29,256x256 (4:2:0),Success
fjlr0_si1231.wav,8,4:2:0,3768.37441,54.55,11.22,4.1,256x256 (4:2:0),Success
mpwm0_sx137.wav,8,4:2:0,3705.00348,54.62,20.82,4.35,256x256 (4:2:0),Success
mcmj0_sx14.wav,8,4:2:0,3394.33483,55.0,19.45,3.98,256x256 (4:2:0),Success
