Timestamp,CoverFile,SecretFile,Status,Time(s),MSE,PSNR,SNR,Rate(kBps),CPU(%),RAM(MB),Info
13:29:24,6_data_TEST_DR3_MJES0_SI1384.WAV.wav,2008_001056.png,Success,0.6113,0.000000,87.91,47.83,2.6448,60.10,53.54,Rnd_Adaptive_Content
13:29:25,6_data_TEST_DR2_FJAS0_SX230.WAV.wav,2007_001677.png,Success,0.6300,0.000000,87.38,46.18,2.9673,53.90,53.62,Rnd_Adaptive_Content
13:29:25,6_data_TEST_DR1_MSJS1_SX99.WAV.wav,2010_004188.jpg,Success,0.6524,0.000000,86.92,44.89,3.3885,37.30,53.68,Rnd_Adaptive_Content
13:29:26,6_data_TEST_DR5_FAWF0_SI1000.WAV.wav,2010_002427.jpg,Success,0.6547,0.000000,86.94,45.24,3.4781,59.20,53.81,Rnd_Adaptive_Content
13:29:27,6_data_TEST_DR2_FCMR0_SX295.WAV.wav,2007_000123.png,Success,0.6470,0.000000,87.66,48.69,2.8670,38.10,53.90,Rnd_Adaptive_Content
13:29:27,6_data_TEST_DR3_MJVW0_SI1758.WAV.wav,2009_000177.png,Success,0.6478,0.000000,81.36,38.53,4.0779,54.10,53.82,Rnd_Adaptive_Content
13:29:28,6_data_TEST_DR4_MRKO0_SX317.WAV.wav,2008_007378.png,Success,0.7096,0.000000,81.50,48.21,4.1759,48.20,54.03,Rnd_Adaptive_Content
13:29:29,6_data_TEST_DR5_FAWF0_SA2.WAV.wav,2010_000241.png,Success,0.8160,0.000000,87.24,46.22,3.1842,68.40,53.92,Rnd_Adaptive_Content
13:29:30,6_data_TEST_DR3_MJMP0_SI1535.WAV.wav,2009_000177.png,Success,0.8420,0.000000,86.61,50.57,3.6001,60.80,53.35,Rnd_Adaptive_Content
13:29:31,6_data_TEST_DR4_MRKO0_SX407.WAV.wav,2009_004368.png,Success,0.8137,0.000000,88.43,53.21,2.3855,65.40,53.90,Rnd_Adaptive_Content
13:29:32,6_data_TEST_DR3_MLNT0_SA2.WAV.wav,2008_001691.png,Success,1.0917,0.000000,87.18,46.27,3.1746,13.00,53.68,Rnd_Adaptive_Content
13:29:33,6_data_TEST_DR4_MPWM0_SA2.WAV.wav,2010_003887.png,Success,0.7316,0.000000,89.09,51.14,2.0860,55.70,54.26,Rnd_Adaptive_Content
13:29:33,6_data_TEST_DR4_MBNS0_SA1.WAV.wav,2011_003656.jpg,Success,0.6339,0.000000,81.46,40.57,4.2668,65.40,52.70,Rnd_Adaptive_Content
13:29:35,6_data_TEST_DR3_MTHC0_SA2.WAV.wav,2009_004347.jpg,Success,1.0408,0.000000,86.78,47.95,3.5526,9.10,53.90,Rnd_Adaptive_Content
13:29:36,6_data_TEST_DR3_MMJR0_SX298.WAV.wav,2010_000735.jpg,Success,0.6331,0.000000,88.93,47.95,2.1641,47.50,53.66,Rnd_Adaptive_Content
13:29:37,6_data_TEST_DR4_FJLM0_SI2303.WAV.wav,2011_005000.jpg,Success,0.9337,0.000000,88.79,46.31,2.2262,11.40,54.00,Rnd_Adaptive_Content
13:29:38,6_data_TEST_DR3_MJJG0_SA2.WAV.wav,2010_004667.jpg,Success,0.6069,0.000000,87.55,43.55,2.9709,65.80,53.58,Rnd_Adaptive_Content
13:29:38,6_data_TEST_DR5_FHES0_SX29.WAV.wav,2008_004458.jpg,Success,0.6570,0.000000,87.10,49.25,3.2339,65.10,53.77,Rnd_Adaptive_Content
13:29:39,6_data_TEST_DR2_FSLB1_SX194.WAV.wav,2008_006497.jpg,Success,0.9066,0.000000,81.78,38.70,3.8663,12.60,53.59,Rnd_Adaptive_Content
13:29:40,6_data_TEST_DR3_MKCH0_SX208.WAV.wav,2011_004287.jpg,Success,0.7162,0.000000,86.42,51.02,3.8004,32.20,53.73,Rnd_Adaptive_Content
13:29:41,6_data_TEST_DR2_FDRD1_SI2149.WAV.wav,2007_006483.png,Success,0.6568,0.000000,93.41,55.88,1.9091,68.80,52.45,Rnd_Adaptive_Content
13:29:41,6_data_TEST_DR1_FJEM0_SX4.WAV.wav,2011_000820.jpg,Success,0.6204,0.000000,88.35,51.91,2.4660,71.40,53.41,Rnd_Adaptive_Content
13:29:43,6_data_TEST_DR2_FDRD1_SX104.WAV.wav,2011_002988.jpg,Success,1.1221,0.000000,74.52,39.79,6.8803,12.00,53.71,Rnd_Adaptive_Content
13:29:43,6_data_TEST_DR2_MMDB1_SX95.WAV.wav,2008_004770.jpg,Success,0.8089,0.000000,80.77,47.05,4.9280,72.90,54.04,Rnd_Adaptive_Content
13:29:44,6_data_TEST_DR1_MREB0_SX25.WAV.wav,2008_006497.jpg,Success,0.8009,0.000000,81.83,41.85,3.7981,80.60,53.66,Rnd_Adaptive_Content
13:29:45,6_data_TEST_DR4_MRKO0_SA1.WAV.wav,2011_000944.jpg,Success,1.1122,0.000000,87.38,58.54,3.0735,15.00,54.00,Rnd_Adaptive_Content
13:29:46,6_data_TEST_DR4_FADG0_SA1.WAV.wav,2008_000495.jpg,Success,0.7459,0.000000,88.05,52.05,2.6521,51.50,53.91,Rnd_Adaptive_Content
13:29:47,6_data_TEST_DR2_MDBB0_SX295.WAV.wav,2011_005000.jpg,Success,0.6667,0.000000,88.84,57.03,2.1321,47.00,53.76,Rnd_Adaptive_Content
13:29:48,6_data_TEST_DR4_MPCS0_SI1359.WAV.wav,2008_002772.jpg,Success,0.6277,0.000000,87.09,50.74,3.1698,58.50,52.71,Rnd_Adaptive_Content
13:29:48,6_data_TEST_DR2_MJAR0_SX8.WAV.wav,2011_004735.jpg,Success,0.6558,0.000000,81.53,49.10,4.1628,50.30,53.71,Rnd_Adaptive_Content
13:29:49,6_data_TEST_DR4_FEDW0_SX274.WAV.wav,2010_005575.png,Success,0.6198,0.000000,87.50,51.61,2.9509,72.30,54.03,Rnd_Adaptive_Content
13:29:50,6_data_TEST_DR1_FAKS0_SA1.WAV.wav,2008_004458.jpg,Success,0.6082,0.000000,89.10,56.74,2.0969,54.90,53.73,Rnd_Adaptive_Content
13:29:51,6_data_TEST_DR4_MJDM1_SX275.WAV.wav,2008_000149.png,Success,0.9201,0.000000,81.46,50.08,4.1036,5.60,53.54,Rnd_Adaptive_Content
13:29:52,6_data_TEST_DR3_MMDH0_SI1656.WAV.wav,2010_002899.jpg,Success,0.6827,0.000000,86.95,49.31,3.3757,48.70,54.16,Rnd_Adaptive_Content
13:29:53,6_data_TEST_DR3_MBWM0_SI1304.WAV.wav,2012_000398.jpg,Success,0.9682,0.000000,87.12,48.45,3.2292,7.90,53.86,Rnd_Adaptive_Content
13:29:53,6_data_TEST_DR2_FRAM1_SA1.WAV.wav,2011_006402.jpg,Success,0.6428,0.000000,88.86,57.75,2.1605,63.40,54.03,Rnd_Adaptive_Content
13:29:54,6_data_TEST_DR2_MWEW0_SX191.WAV.wav,2012_000912.jpg,Success,1.1222,0.000000,86.49,56.20,3.7332,5.40,53.30,Rnd_Adaptive_Content
13:29:55,6_data_TEST_DR3_FKMS0_SI860.WAV.wav,2007_006490.jpg,Success,0.6490,0.000000,94.36,57.34,1.5283,46.50,53.98,Rnd_Adaptive_Content
13:29:56,6_data_TEST_DR3_MGLB0_SX4.WAV.wav,2009_001319.jpg,Success,1.0128,0.000000,87.01,44.47,3.3561,10.10,53.50,Rnd_Adaptive_Content
13:29:57,6_data_TEST_DR3_FKMS0_SI2120.WAV.wav,2008_007746.jpg,Success,1.1682,0.000000,81.77,46.87,3.8808,16.50,54.27,Rnd_Adaptive_Content
13:29:58,6_data_TEST_DR3_MCSH0_SA1.WAV.wav,2012_000826.jpg,Success,0.8266,0.000000,87.82,58.63,2.7262,77.80,54.13,Rnd_Adaptive_Content
13:29:59,6_data_TEST_DR3_MHPG0_SX10.WAV.wav,2012_002021.jpg,Success,0.8119,0.000000,81.48,43.84,4.2502,69.90,54.23,Rnd_Adaptive_Content
